#      step        H        error
463           -0.442478          0.00258041
464           -0.445195          0.00246798
465           -0.446452          0.00289839
466           -0.442468          0.00285793
467           -0.443018          0.00268833
468            -0.44173          0.00281379
469           -0.442222           0.0027776
470           -0.435571          0.00300813
471           -0.439063            0.002999
472           -0.431516          0.00296908
473           -0.436197          0.00288477
474           -0.424689          0.00279317
475           -0.397789           0.0043287
476           -0.423542          0.00344455
477           -0.432998          0.00304784
478           -0.437973          0.00322528
479           -0.429123          0.00333731
480           -0.422848          0.00301285
481           -0.428842          0.00336017
482           -0.431955          0.00308542
483           -0.407568          0.00336055
484           -0.424447           0.0034656
485           -0.432107          0.00298234
486           -0.417692          0.00298733
487           -0.434615          0.00310348
488           -0.434732          0.00296516
489           -0.436725          0.00382007
490           -0.430877          0.00311302
491           -0.434459          0.00300945
492           -0.441744           0.0028351
493           -0.438723          0.00334623
494           -0.439284          0.00238448
495           -0.429421          0.00334149
496           -0.431017          0.00275095
497           -0.416486          0.00325726
498           -0.426356          0.00322415
499           -0.423363          0.00392168
500           -0.411205           0.0046167
501            -0.42128          0.00371605
502           -0.429028           0.0026368
503           -0.425791          0.00306791
504           -0.427316          0.00330076
505           -0.435651          0.00259603
506           -0.410309          0.00479937
507           -0.437738          0.00265241
508           -0.426308          0.00271509
509           -0.430974          0.00255164
510           -0.433002          0.00264519
511           -0.430354          0.00282275
512           -0.430213          0.00251915
513           -0.439282          0.00220652
514           -0.417032          0.00282158
515           -0.424427          0.00239447
516            -0.42454          0.00277977
517           -0.429115          0.00241032
518           -0.436868           0.0025973
519           -0.432019          0.00283196
520           -0.429534          0.00250101
521            -0.42234          0.00269893
522           -0.414268          0.00319821
523           -0.412248          0.00281544
524           -0.412482          0.00305499
525            -0.41912          0.00331218
526           -0.421609          0.00282745
527            -0.41038          0.00256754
528           -0.413752          0.00281271
529           -0.407009          0.00324673
530           -0.411299          0.00281314
531           -0.428164          0.00276729
532           -0.422546          0.00324308
533           -0.427005          0.00265013
534           -0.418094          0.00294263
535           -0.417494          0.00337709
536           -0.400389          0.00417996
537           -0.424323          0.00313666
538           -0.418704          0.00341894
539           -0.417836          0.00381042
540            -0.41593          0.00400865
541           -0.416265          0.00372205
542           -0.422348          0.00331642
543           -0.417725          0.00361281
544           -0.427398          0.00284404
545           -0.416191          0.00383719
546           -0.438223          0.00282956
547           -0.438869          0.00275657
548           -0.434158          0.00301781
549           -0.422052          0.00327503
550           -0.425146          0.00317551
551           -0.430846          0.00328731
552           -0.432696           0.0030923
553            -0.43066          0.00375535
554           -0.434429          0.00325145
555            -0.44047          0.00262025
556           -0.444615          0.00269575
557           -0.441834          0.00266139
558           -0.444315           0.0027569
559           -0.442085          0.00243135
560           -0.420852           0.0037249
561           -0.423129          0.00404623
562           -0.422524           0.0041359
563           -0.422811          0.00412213
564           -0.418652          0.00403192
565            -0.39581          0.00485228
566           -0.429785          0.00341402
567           -0.420878          0.00396412
568           -0.437536          0.00294175
569           -0.432041          0.00332055
570           -0.426943          0.00364096
571           -0.434131          0.00285394
