#      step        mu        sigma
547             0.77895            0.645038
548            0.763205            0.657176
549            0.753094            0.651313
550            0.738192            0.646325
551             0.75291            0.648765
552            0.778117             0.66063
553            0.777781            0.648832
554            0.780001            0.640018
555            0.792935            0.636363
556            0.792345            0.624158
557            0.801548            0.612686
558            0.805681            0.611023
559            0.808885            0.631953
560            0.816374            0.674715
561            0.838558            0.655747
562            0.847082              0.6581
563            0.833417             0.66958
564            0.810306            0.670372
565            0.789013            0.698847
566            0.795406            0.660064
567            0.811163            0.663891
568            0.781088            0.666051
569            0.795646            0.661179
570            0.746249            0.659873
571            0.763075            0.659214
572            0.757903            0.666461
573            0.771946            0.645731
574            0.776685            0.650607
575            0.766555            0.655041
576            0.782946            0.666015
577            0.777271            0.661899
578            0.775344             0.65805
579            0.773931            0.662152
580            0.778546            0.667245
581            0.794261            0.682202
582            0.800353            0.668184
583            0.798342            0.669639
584            0.772172            0.657311
585            0.774041            0.669781
586            0.776847             0.66781
587            0.772086            0.672261
588            0.752317            0.663927
589            0.764082            0.672612
590            0.752339            0.668478
591            0.770615            0.666499
592            0.790792            0.656166
593            0.777414            0.659265
594            0.782686            0.649305
595            0.770902            0.662491
596            0.781107            0.651328
597            0.782044            0.653355
598            0.778869            0.658088
599            0.776622             0.65604
600            0.777265            0.644325
601            0.776631            0.651807
602            0.781079              0.6642
603            0.747671            0.662913
604            0.761281            0.639655
605            0.752132            0.640533
606            0.739347            0.670987
607            0.762804            0.647118
608            0.770077            0.654184
609            0.780483            0.663823
610            0.760927            0.642106
611            0.740912            0.639837
612            0.737256            0.630104
613            0.746406            0.631279
614            0.748057            0.632404
615            0.748493            0.634841
616            0.751819            0.624802
617            0.756912            0.616636
618            0.739154            0.622145
619            0.738187            0.647703
620            0.742316            0.638759
621            0.732091             0.65197
622            0.751643            0.648344
623            0.737533            0.646972
624            0.739212             0.64769
625            0.753146            0.641222
626            0.755617            0.668731
627            0.749169            0.628836
628            0.739203            0.614744
629            0.748723            0.615451
630            0.737377            0.610764
631            0.749159            0.624079
632            0.741142            0.629548
633             0.71765            0.638712
634            0.730779            0.647042
635            0.701098            0.647906
636            0.741078            0.656239
637            0.751806            0.654474
638            0.784465            0.659906
639            0.756723             0.68944
640            0.777658            0.671951
641            0.768384            0.668451
642            0.748929            0.664105
643            0.749429            0.652497
644            0.727872            0.653951
645            0.721847            0.663858
646            0.733151            0.641456
647             0.73393            0.625591
648            0.724583            0.628083
649            0.719054            0.640578
650            0.720328            0.654994
651            0.735493            0.668469
652            0.734695            0.673597
653            0.722663            0.662666
654            0.727393            0.657904
655            0.733847             0.66147
656             0.72133            0.657807
657            0.712032            0.668953
658            0.728307            0.658942
659            0.721035             0.64978
660            0.711973            0.648714
661            0.734084            0.653785
662            0.735136             0.62996
663            0.697868             0.62466
664            0.735401            0.631079
665            0.710002            0.625196
666             0.71879            0.608442
667            0.740355            0.613983
668            0.743534            0.614507
669            0.754207            0.625736
670            0.768179            0.636958
671            0.745905             0.63678
672            0.752353            0.639028
673            0.727753            0.638248
674            0.775777            0.640559
675            0.771729             0.63532
676              0.7718            0.641566
677            0.759892            0.633665
678            0.771474            0.619511
679             0.76504            0.613192
680            0.769756            0.618641
681             0.76516            0.625742
682            0.776928            0.618232
683            0.773805            0.625216
684              0.7823            0.631215
685            0.801633             0.62569
686            0.803243            0.611855
687            0.806061            0.610259
688            0.812757            0.613689
689            0.829872            0.596122
690            0.812268            0.617713
691            0.809445            0.653525
692            0.833388            0.657662
693              0.8078            0.659639
694            0.804393            0.665648
695            0.796544            0.665216
696            0.806664            0.664902
697            0.803858            0.669621
698            0.792417            0.667259
699            0.800137            0.658019
700            0.791654            0.662455
701            0.799045            0.675754
702            0.801457            0.660043
703             0.80396            0.670592
704            0.813281            0.674249
705            0.807249            0.674881
706            0.805675            0.667969
707            0.831577             0.66272
708            0.828956             0.66404
709            0.827973            0.665909
710            0.834746            0.657708
711             0.83609             0.66267
712             0.84895            0.645893
713            0.851789            0.649648
714            0.839917            0.673073
715             0.85084            0.687221
716            0.841629            0.667664
717            0.851421             0.67426
718            0.828746            0.649617
719            0.843676            0.640241
720            0.838064            0.660126
721            0.820425            0.656132
722            0.819336             0.66286
723            0.818879            0.677473
724            0.810133            0.661346
725            0.817893            0.670359
726            0.787508            0.657979
727            0.777347            0.662801
728            0.785235            0.665025
729            0.774668             0.66736
730            0.767735            0.674463
731            0.765306            0.682852
732             0.76003            0.653984
733            0.753565            0.649116
734            0.748535            0.636628
735            0.749171            0.639328
736            0.760585            0.621525
737            0.759551            0.633087
738            0.765019            0.643497
739            0.784201            0.642336
740            0.794435            0.655714
741            0.781829             0.64037
742            0.778702            0.643191
743            0.785259            0.651793
744            0.769865            0.656341
745            0.776728            0.659126
746            0.762986            0.673906
747            0.773456            0.690594
748            0.783298             0.67414
749            0.771947             0.66631
750             0.77056            0.674645
751            0.775568            0.685283
752            0.776158            0.675551
753            0.756933            0.672161
754            0.764375            0.672939
755            0.755974             0.64323
756            0.743651            0.630851
757            0.747997            0.619582
758            0.778306            0.603886
759            0.759525            0.589077
