#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
          21    0.113199     0.25069   0.0395699
          21    0.339598     1.51982     0.11396
          21    0.565997     3.81443    0.199329
          21    0.792396     6.26826     0.31206
          21      1.0188     8.64012    0.257393
          21     1.24519     11.5823     0.35318
          21     1.47159     12.1562    0.295848
          21     1.69799     12.3913    0.306816
          21     1.92439      11.154    0.252861
          21     2.15079     10.2018    0.312994
          21     2.37719     7.91387    0.254687
          21     2.60359     6.75635    0.302837
          21     2.82999     5.03012    0.205459
          21     3.05639     3.68136    0.185918
          21     3.28278     2.46175    0.146323
          21     3.50918     1.61131    0.142391
          21     3.73558     1.10825    0.101953
          21     3.96198    0.557595   0.0664441
          21     4.18838    0.378381   0.0570381
          21     4.41478    0.125607    0.024835
          21     4.64118   0.0842143   0.0255713
          21     4.86758    0.140048   0.0519251
          21     5.09398    0.110381    0.043907
          21     5.32037    0.035369   0.0205377
          21     5.54677   0.0247024   0.0182641
          21     5.77317  0.00178571    0.001204
          21     5.99957           0           0
          21     6.22597           0           0
          21     6.45237           0           0
          21     6.67877           0           0
          22    0.113199    0.256739   0.0382307
          22    0.339598     1.51689    0.108818
          22    0.565997      3.8163    0.190278
          22    0.792396     6.25215    0.298291
          22      1.0188     8.70445    0.253607
          22     1.24519     11.5592    0.337883
          22     1.47159     12.1463    0.282565
          22     1.69799     12.3563     0.29486
          22     1.92439     11.2014    0.245761
          22     2.15079     10.1932    0.298885
          22     2.37719     7.97731    0.250887
          22     2.60359     6.73589    0.289762
          22     2.82999     5.02664    0.196149
          22     3.05639     3.64355    0.181272
          22     3.28278     2.45358    0.139899
          22     3.50918     1.58757    0.137884
          22     3.73558       1.083    0.100397
          22     3.96198    0.584659    0.068715
          22     4.18838     0.39642   0.0572271
          22     4.41478    0.130057   0.0241015
          22     4.64118   0.0803864   0.0246938
          22     4.86758    0.133682   0.0499536
          22     5.09398    0.105364   0.0421969
          22     5.32037   0.0337614    0.019667
          22     5.54677   0.0235795   0.0174684
          22     5.77317  0.00170455  0.00115201
          22     5.99957           0           0
          22     6.22597           0           0
          22     6.45237           0           0
          22     6.67877           0           0
          23    0.113199    0.256141   0.0365731
          23    0.339598     1.52289    0.104252
          23    0.565997      3.8446    0.184097
          23    0.792396     6.21637    0.287459
          23      1.0188     8.76716    0.250213
          23     1.24519     11.4846    0.331329
          23     1.47159     12.1899    0.273625
          23     1.69799     12.4482    0.295999
          23     1.92439      11.116    0.249472
          23     2.15079     10.2086    0.286288
          23     2.37719     7.94599    0.241925
          23     2.60359     6.67187    0.284147
          23     2.82999     5.04502     0.18848
          23     3.05639     3.68663    0.178437
          23     3.28278     2.49991    0.141281
          23     3.50918     1.58089     0.13205
          23     3.73558     1.05597   0.0996048
          23     3.96198     0.57813   0.0660368
          23     4.18838    0.385587   0.0557549
          23     4.41478    0.132022   0.0231335
          23     4.64118   0.0784565   0.0236955
          23     4.86758     0.12787   0.0481186
          23     5.09398    0.100783   0.0406102
          23     5.32037   0.0322935   0.0188666
          23     5.54677   0.0225543    0.016739
          23     5.77317  0.00163043   0.0011043
          23     5.99957           0           0
          23     6.22597           0           0
          23     6.45237           0           0
          23     6.67877           0           0
          24    0.113199      0.2495   0.0356471
          24    0.339598     1.50279    0.101827
          24    0.565997     3.83054    0.176963
          24    0.792396     6.24993    0.277434
          24      1.0188     8.84356    0.251181
          24     1.24519     11.3731    0.335759
          24     1.47159     12.1806    0.262383
          24     1.69799      12.427    0.284423
          24     1.92439     11.1975    0.252052
          24     2.15079     10.1899    0.274971
          24     2.37719     7.96291    0.232436
          24     2.60359     6.62665    0.275883
          24     2.82999     5.09933     0.18829
          24     3.05639      3.7115    0.172727
          24     3.28278     2.52706    0.137978
          24     3.50918     1.56746     0.12723
          24     3.73558      1.0352    0.097596
          24     3.96198    0.578083   0.0632853
          24     4.18838    0.371937   0.0550772
          24     4.41478    0.127073   0.0226928
          24     4.64118   0.0751875   0.0229325
          24     4.86758    0.122542   0.0464077
          24     5.09398   0.0965833   0.0391346
          24     5.32037   0.0309479   0.0181284
          24     5.54677   0.0216146   0.0160679
          24     5.77317   0.0015625  0.00106038
          24     5.99957           0           0
          24     6.22597           0           0
          24     6.45237           0           0
          24     6.67877           0           0
          25    0.113199     0.24514   0.0344869
          25    0.339598     1.50399   0.0977614
          25    0.565997     3.83381    0.169914
          25    0.792396     6.27202    0.267215
          25      1.0188     8.85509    0.241398
          25     1.24519     11.3503    0.323103
          25     1.47159     12.0906    0.266862
          25     1.69799     12.4162    0.273248
          25     1.92439     11.4047    0.315822
          25     2.15079     10.1851    0.264013
          25     2.37719     7.93347    0.224995
          25     2.60359     6.63769    0.265068
          25     2.82999     5.06447    0.183957
          25     3.05639     3.66141    0.172928
          25     3.28278      2.5559    0.135439
          25     3.50918     1.53755    0.125607
          25     3.73558     1.04096   0.0938621
          25     3.96198     0.57581   0.0607947
          25     4.18838     0.36481   0.0533333
          25     4.41478     0.12487   0.0218917
          25     4.64118     0.07233   0.0221925
          25     4.86758     0.12325   0.0445568
          25     5.09398     0.09607   0.0375726
          25     5.32037     0.03004    0.017426
          25     5.54677     0.02289   0.0154757
          25     5.77317      0.0015   0.0010198
          25     5.99957           0           0
          25     6.22597           0           0
          25     6.45237           0           0
          25     6.67877           0           0
          26    0.113199    0.243135   0.0332187
          26    0.339598     1.54105    0.100781
          26    0.565997     3.83038    0.163414
          26    0.792396     6.29715    0.258116
          26      1.0188     8.84563    0.232298
          26     1.24519     11.3335    0.311109
          26     1.47159     12.0843    0.256673
          26     1.69799     12.4072     0.26289
          26     1.92439     11.3722    0.305339
          26     2.15079     10.2424    0.259997
          26     2.37719     7.95018    0.216961
          26     2.60359     6.61729    0.255657
          26     2.82999     5.03229    0.179675
          26     3.05639     3.67023    0.166502
          26     3.28278     2.57992    0.132344
          26     3.50918     1.52874    0.121084
          26     3.73558     1.02736   0.0912326
          26     3.96198    0.585817   0.0592744
          26     4.18838    0.357856   0.0517335
          26     4.41478    0.120606    0.021461
          26     4.64118   0.0695481   0.0215126
          26     4.86758     0.11851   0.0430945
          26     5.09398    0.092375   0.0363087
          26     5.32037   0.0288846   0.0167941
          26     5.54677   0.0220096   0.0149055
          26     5.77317  0.00144231 0.000982211
          26     5.99957           0           0
          26     6.22597           0           0
          26     6.45237           0           0
          26     6.67877           0           0
          27    0.113199    0.238593   0.0322974
          27    0.339598     1.56474   0.0997942
          27    0.565997     3.81373    0.158207
          27    0.792396      6.3192    0.249497
          27      1.0188     8.84725      0.2237
          27     1.24519     11.2891    0.302738
          27     1.47159     12.0731    0.247412
          27     1.69799     12.4013     0.25322
          27     1.92439     11.3751    0.294043
          27     2.15079     10.2807    0.253174
          27     2.37719     7.98503    0.211705
          27     2.60359     6.63243    0.246636
          27     2.82999     5.04215    0.173291
          27     3.05639     3.62329    0.166822
          27     3.28278     2.59907     0.12882
          27     3.50918     1.53394    0.116711
          27     3.73558      1.0095   0.0895839
          27     3.96198    0.570259   0.0590856
