#     BLOCK:   VELOCITY:     AVE_POFV:       ERROR:
          18    0.565997     1.78582    0.105493
          18    0.792396     3.37068    0.211494
          18      1.0188       4.697    0.313995
          18     1.24519     6.19714     0.35432
          18     1.47159     7.77265    0.390035
          18     1.69799     8.81231    0.335657
          18     1.92439      9.0735    0.374516
          18     2.15079     9.19392    0.318561
          18     2.37719     10.3483     1.07642
          18     2.60359     9.47494    0.861831
          18     2.82999     8.11842    0.318589
          18     3.05639     6.35303    0.275653
          18     3.28278     5.54731    0.277251
          18     3.50918     4.53403    0.184451
          18     3.73558     3.59269    0.218897
          18     3.96198     2.59374    0.138749
          18     4.18838     1.83814    0.113144
          18     4.41478     1.23129    0.120636
          18     4.64118    0.978486    0.137074
          18     4.86758    0.643583    0.105075
          18     5.09398    0.440778    0.072928
          18     5.32037    0.289444    0.053165
          18     5.54677    0.141931   0.0279403
          18     5.77317   0.0805139   0.0246898
          18     5.99957   0.0475694   0.0247824
          18     6.22597   0.0126111   0.0119172
          18     6.45237 0.000416667 0.000404927
          18     6.67877           0           0
          19    0.113199   0.0837368   0.0236916
          19    0.339598    0.715645   0.0826736
          19    0.565997     1.71745     0.12007
          19    0.792396     3.37062    0.200363
          19      1.0188     4.69962    0.297479
          19     1.24519     6.23938     0.33818
          19     1.47159      7.8118    0.371467
          19     1.69799     8.77601    0.319947
          19     1.92439     9.02147      0.3584
          19     2.15079     9.24412    0.305725
          19     2.37719     10.3648      1.0199
          19     2.60359     9.44536     0.81698
          19     2.82999     8.12483    0.301885
          19     3.05639     6.34711    0.261208
          19     3.28278     5.56343    0.263127
          19     3.50918     4.59096    0.183319
          19     3.73558     3.60274    0.207606
          19     3.96198      2.5668    0.134035
          19     4.18838     1.82301    0.108195
          19     4.41478     1.23911     0.11454
          19     4.64118       0.963    0.130731
          19     4.86758    0.715513    0.121699
          19     5.09398    0.431092   0.0697299
          19     5.32037    0.274211    0.052504
          19     5.54677    0.134461   0.0274502
          19     5.77317   0.0762763   0.0237512
          19     5.99957   0.0450658   0.0236042
          19     6.22597   0.0119474   0.0113084
          19     6.45237 0.000394737 0.000384209
          19     6.67877           0           0
          20    0.113199   0.0802125   0.0227676
          20    0.339598      0.7177   0.0785654
          20    0.565997     1.68431    0.118551
          20    0.792396     3.36321    0.190482
          20      1.0188      4.6916    0.282714
          20     1.24519      6.2783    0.323503
          20     1.47159     7.82401    0.353094
          20     1.69799     8.74875    0.305109
          20     1.92439      9.1112    0.351532
          20     2.15079     9.19422    0.294482
          20     2.37719     10.2704     0.97326
          20     2.60359     9.41617    0.776652
          20     2.82999      8.1747    0.290881
          20     3.05639     6.31224    0.250464
          20     3.28278      5.6204    0.256063
          20     3.50918     4.63186    0.178658
          20     3.73558     3.61101    0.197391
          20     3.96198     2.58506    0.128571
          20     4.18838     1.82589    0.102823
          20     4.41478     1.24765    0.109131
          20     4.64118    0.966562    0.124243
          20     4.86758    0.706775    0.115928
          20     5.09398     0.41835   0.0673975
          20     5.32037    0.264625   0.0507463
          20     5.54677    0.127737   0.0268884
          20     5.77317   0.0724625   0.0228678
          20     5.99957   0.0428125   0.0225313
          20     6.22597     0.01135   0.0107588
          20     6.45237    0.000375 0.000365505
          20     6.67877           0           0
          21    0.113199   0.0765952   0.0219689
          21    0.339598    0.686488   0.0807865
          21    0.565997     1.64789    0.118367
          21    0.792396     3.37762    0.181955
          21      1.0188     4.72552    0.271279
          21     1.24519     6.20587    0.316102
          21     1.47159      7.8282    0.336305
          21     1.69799      8.7679    0.291181
          21     1.92439     9.13479    0.335583
          21     2.15079     9.27527    0.291399
          21     2.37719     10.2384     0.92744
          21     2.60359     9.45737     0.74076
          21     2.82999      8.1384    0.279285
          21     3.05639     6.31154    0.238538
          21     3.28278     5.58483    0.246327
          21     3.50918     4.63533    0.170184
          21     3.73558     3.64612    0.191088
          21     3.96198      2.6123      0.1253
          21     4.18838     1.83962   0.0988397
          21     4.41478     1.27398    0.107062
          21     4.64118    0.962988    0.118378
          21     4.86758    0.679512    0.113568
