#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         321     -0.4312   -0.452189  0.00683614
         322     -0.5104    -0.45237   0.0068173
         323     -0.3528   -0.452062  0.00680316
         324     -0.5896   -0.452486   0.0067954
         325      -0.668    -0.45315  0.00680677
         326      -0.588   -0.453563  0.00679844
         327     -0.5888   -0.453977  0.00679022
         328      -0.512   -0.454154  0.00677182
         329     -0.5144   -0.454337  0.00675372
         330     -0.6784   -0.455016  0.00676729
         331       -0.68   -0.455695   0.0067809
         332     -0.4392   -0.455646  0.00676066
         333     -0.4376   -0.455592  0.00674057
         334     -0.1976   -0.454819   0.0067645
         335     -0.3568   -0.454527  0.00675063
         336     -0.1184   -0.453526  0.00680426
         337     -0.2824   -0.453018  0.00680299
         338     -0.6032   -0.453463  0.00679736
         339      -0.444   -0.453435  0.00677737
         340     -0.5248   -0.453645  0.00676068
         341     -0.6016   -0.454079  0.00675477
         342     -0.5232   -0.454281  0.00673804
         343     -0.5248   -0.454486  0.00672153
         344     -0.6024   -0.454916  0.00671573
         345     -0.3592   -0.454639  0.00670199
         346     -0.4336   -0.454578   0.0066829
         347     -0.5136   -0.454748   0.0066658
         348     -0.1168   -0.453777  0.00671701
         349     -0.5136   -0.453948  0.00669996
         350     -0.4344   -0.453893  0.00668105
         351     -0.3608   -0.453627  0.00666727
         352     -0.6016   -0.454048  0.00666157
         353       -0.68   -0.454688  0.00667338
         354     -0.5184   -0.454868  0.00665696
         355     -0.5176   -0.455045  0.00664055
         356     -0.5968   -0.455443  0.00663382
         357     -0.5184   -0.455619  0.00661759
         358     -0.4392   -0.455573  0.00659926
         359     -0.5992   -0.455973  0.00659299
         360        -0.6   -0.456373  0.00658681
         361     -0.5184   -0.456545   0.0065708
         362     -0.5928   -0.456922  0.00656342
         363      -0.508   -0.457062  0.00654685
         364     -0.5912   -0.457431  0.00653923
         365     -0.5136   -0.457585  0.00652312
         366     -0.4384   -0.457532  0.00650551
         367     -0.3568   -0.457258  0.00649357
         368      -0.516   -0.457417  0.00647789
         369      -0.432   -0.457349   0.0064607
         370     -0.5088   -0.457488  0.00644473
         371     -0.5872   -0.457837  0.00643684
         372      -0.432   -0.457768  0.00641991
         373     -0.4368   -0.457712  0.00640294
         374     -0.5184   -0.457874  0.00638788
         375     -0.3632   -0.457621  0.00637583
         376      -0.364   -0.457372  0.00636374
         377     -0.3632   -0.457123  0.00635176
         378     -0.5256   -0.457304  0.00633754
         379     -0.6864   -0.457908  0.00634958
         380     -0.3624   -0.457657  0.00633784
         381     -0.5224   -0.457827  0.00632348
         382     -0.3664   -0.457587  0.00631146
         383     -0.4472    -0.45756  0.00629503
         384     -0.6072    -0.45795  0.00629069
         385     -0.6104   -0.458346   0.0062868
         386     -0.3616   -0.458095  0.00627551
         387     -0.5272   -0.458274  0.00626183
         388     -0.6872   -0.458864  0.00627343
         389     -0.6072   -0.459245  0.00626888
         390     -0.5232   -0.459409  0.00625495
         391     -0.5208   -0.459566  0.00624092
         392     -0.5184   -0.459716  0.00622681
         393      -0.356   -0.459452  0.00621655
         394     -0.5176     -0.4596  0.00620253
         395     -0.1952   -0.458931  0.00622284
         396     -0.4384   -0.458879  0.00620734
         397     -0.3592   -0.458628  0.00619678
         398      -0.516   -0.458772  0.00618289
         399      -0.516   -0.458915  0.00616905
         400     -0.4432   -0.458876  0.00615376
         401     -0.2792   -0.458428   0.0061547
         402     -0.3552   -0.458171  0.00614475
         403     -0.5944   -0.458509  0.00613879
         404     -0.5952   -0.458848  0.00613291
         405     -0.6768   -0.459386  0.00614133
         406      -0.596   -0.459722  0.00613542
         407     -0.3584   -0.459473  0.00612539
         408      -0.596   -0.459808  0.00611951
         409     -0.5136   -0.459939  0.00610596
         410     -0.6776    -0.46047  0.00611411
         411     -0.4424   -0.460426  0.00609939
         412     -0.2008   -0.459796  0.00611705
         413      -0.352   -0.459535  0.00610781
         414     -0.4288   -0.459461   0.0060935
