#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         444        0.08  0.00315315    0.010298
         445        0.04  0.00323596   0.0102752
         446        0.04  0.00331839   0.0102525
         447       -0.08  0.00313199   0.0102312
         448        0.08  0.00330357   0.0102098
         449        0.28  0.00391982   0.0102057
         450        0.16  0.00426667   0.0101889
         451        0.24  0.00478936   0.0101797
         452        0.08  0.00495575   0.0101585
         453        0.08  0.00512141   0.0101375
         454       -0.04  0.00502203   0.0101156
         455       -0.16  0.00465934   0.0100999
         456       -0.08  0.00447368   0.0100794
         457       -0.04  0.00437637   0.0100579
         458       -0.32  0.00366812   0.0100608
         459       -0.32  0.00296296   0.0100636
         460       -0.32  0.00226087   0.0100661
         461       -0.24  0.00173536    0.010058
         462        -0.2   0.0012987   0.0100457
         463       -0.12  0.00103672   0.0100274
         464        0.04  0.00112069   0.0100062
         465        0.04   0.0012043  0.00998501
         466         0.4  0.00206009   0.0100002
         467         0.2  0.00248394  0.00998775
         468        0.12  0.00273504  0.00996957
         469           0  0.00272921  0.00994831
         470       -0.24  0.00221277  0.00994054
         471        -0.6 0.000934183   0.0100013
         472       -0.36 0.000169492   0.0100093
         473       -0.44-0.000761099   0.0100313
         474       -0.12 -0.00101266   0.0100133
         475       -0.04 -0.00109474  0.00999258
         476        0.16-0.000756303  0.00997732
         477        0.08-0.000587002  0.00995784
         478        0.04-0.000502092  0.00993737
         479        0.08-0.000334029  0.00991804
         480        0.04    -0.00025  0.00989773
         481       -0.24-0.000748441   0.0098897
         482        0.04  -0.0006639  0.00986954
         483       -0.16-0.000993789  0.00985462
         484        0.08-0.000826446  0.00983568
         485        0.28-0.000247423  0.00983243
         486        0.36 0.000493827   0.0098401
         487        0.12  0.00073922  0.00982295
         488        0.04 0.000819672  0.00980315
         489        0.04 0.000899796  0.00978343
         490        0.08  0.00106122   0.0097648
         491       -0.12 0.000814664  0.00974802
         492       -0.12 0.000569106   0.0097313
         493           0 0.000567951  0.00971156
         494        0.08 0.000728745  0.00969324
         495        0.36  0.00145455  0.00970079
         496        0.28  0.00201613  0.00969747
         497       -0.04  0.00193159  0.00967833
         498       -0.04  0.00184739  0.00965926
         499       -0.04  0.00176353  0.00964027
         500        -0.2     0.00136  0.00962943
         501        0.08  0.00151697  0.00961149
         502       -0.08  0.00135458  0.00959371
         503           0  0.00135189  0.00957464
         504       -0.16  0.00103175  0.00956099
         505       -0.36 0.000316832  0.00956875
         506        -0.2-7.90514e-05  0.00955803
         507       -0.16-0.000394477  0.00954438
         508       -0.32 -0.00102362   0.0095463
         509       -0.36 -0.00172888  0.00955356
         510       -0.36 -0.00243137  0.00956063
         511       -0.24 -0.00289628  0.00955321
         512       -0.32 -0.00351563  0.00955461
         513        -0.4  -0.0042885  0.00956719
         514        -0.2 -0.00466926  0.00955615
         515           0 -0.00466019   0.0095376
         516       -0.36 -0.00534884  0.00954395
         517           0 -0.00533849  0.00952549
         518         0.2 -0.00494208  0.00951535
         519        0.44 -0.00408478  0.00953556
         520        0.52 -0.00307692  0.00957033
         521        0.56 -0.00199616  0.00961279
         522        0.56 -0.00091954  0.00965448
         523        0.52 7.64818e-05  0.00968726
         524        0.48 0.000992366  0.00971198
         525         0.4  0.00175238  0.00972317
         526        0.48   0.0026616   0.0097471
         527        0.48  0.00356736   0.0097706
         528        0.28  0.00409091  0.00976611
         529       -0.12  0.00385633  0.00975047
         530       -0.08  0.00369811  0.00973335
         531       -0.12  0.00346516  0.00971781
         532       -0.32  0.00285714  0.00971855
         533       -0.24   0.0024015  0.00971099
         534       -0.04   0.0023221  0.00969313
         535        -0.2  0.00194393  0.00968238
         536       -0.12  0.00171642  0.00966699
         537       -0.28  0.00119181  0.00966321
         538        -0.2 0.000817844  0.00965249
         539       -0.04 0.000742115  0.00963488
         540        0.12 0.000962963  0.00961956
         541         0.2  0.00133087  0.00960882
         542         0.2  0.00169742  0.00959808
         543        0.12  0.00191529  0.00958287
         544        0.08  0.00205882  0.00956633
         545        0.08  0.00220183  0.00954985
         546        0.04  0.00227106  0.00953261
         547         0.2  0.00263254  0.00952203
         548         0.2   0.0029927  0.00951146
         549        0.28  0.00349727  0.00950751
         550        0.32  0.00407273  0.00950763
         551        0.12  0.00428312   0.0094927
         552        0.24  0.00471014   0.0094851
         553        0.04  0.00477396  0.00946816
         554       -0.08  0.00462094  0.00945231
         555        0.12  0.00482883  0.00943757
         556        0.08  0.00496403  0.00942156
         557        0.12  0.00517056  0.00940691
         558        0.12  0.00537634   0.0093923
         559        0.24  0.00579606  0.00938487
         560        0.32  0.00635714  0.00938487
         561        0.24  0.00677362  0.00937738
         562       -0.08  0.00661922  0.00936196
         563       -0.08  0.00646536   0.0093466
         564       -0.08  0.00631206  0.00933128
         565       -0.04  0.00623009  0.00931513
         566           0  0.00621908  0.00929868
         567           0  0.00620811  0.00928228
         568           0  0.00619718  0.00926595
         569         0.2  0.00653779  0.00925592
         570        0.24  0.00694737  0.00924874
         571           0   0.0069352  0.00923255
         572       -0.16  0.00664336  0.00922102
         573       -0.08  0.00649215  0.00920617
         574       -0.08  0.00634146  0.00919136
         575       -0.32  0.00577391  0.00919288
         576       -0.48  0.00493056  0.00921553
         577       -0.32  0.00436742  0.00921675
         578       -0.52  0.00346021  0.00924534
         579       -0.28  0.00297064  0.00924233
         580       -0.24  0.00255172  0.00923588
         581        0.16  0.00282272  0.00922396
         582        0.04   0.0028866  0.00920833
         583           0  0.00288165  0.00919254
         584         0.2  0.00321918  0.00918299
         585           0  0.00321368   0.0091673
         586           0  0.00320819  0.00915165
         587       -0.04  0.00313458  0.00913636
         588       -0.04  0.00306122  0.00912112
         589       -0.04  0.00298812  0.00910592
         590       -0.24  0.00257627   0.0090998
         591       -0.36  0.00196277  0.00910506
         592       -0.36  0.00135135  0.00911018
         593       -0.08  0.00121417  0.00909585
         594        0.12  0.00141414  0.00908274
         595        0.16  0.00168067  0.00907138
         596        0.32  0.00221477  0.00907187
         597        0.28  0.00268007   0.0090686
         598        0.12  0.00287625  0.00905556
         599        0.28   0.0033389  0.00905225
         600        0.36  0.00393333  0.00905666
         601         0.4  0.00459235  0.00906554
         602        0.32  0.00511628   0.0090656
         603        0.12   0.0053068  0.00905257
         604        0.16  0.00556291  0.00904121
         605        0.04  0.00561983  0.00902644
         606           0  0.00561056  0.00901155
         607           0  0.00560132  0.00899671
         608           0  0.00559211  0.00898192
         609       -0.08  0.00545156  0.00896827
         610       -0.08  0.00531148  0.00895466
         611       -0.08  0.00517185  0.00894109
         612        0.12  0.00535948  0.00892845
         613           0  0.00535073  0.00891389
         614       -0.08  0.00521173  0.00890046
         615        0.04  0.00526829  0.00888616
         616       -0.16       0.005  0.00887579
         617       -0.32  0.00447326  0.00887702
         618       -0.12  0.00427184  0.00886494
         619       -0.12  0.00407108  0.00885289
         620        0.04  0.00412903   0.0088388
         621       -0.04  0.00405797  0.00882485
         622        -0.2   0.0037299  0.00881676
         623       -0.24  0.00333868  0.00881129
         624       -0.16  0.00307692  0.00880105
         625       -0.08    0.002944  0.00878797
         626       -0.04   0.0028754   0.0087742
         627           0  0.00287081  0.00876021
         628        0.08  0.00299363  0.00874712
         629        0.12  0.00317965  0.00873519
         630        0.08  0.00330159  0.00872218
         631        0.16  0.00354992  0.00871189
         632        0.12  0.00373418  0.00870006
         633        0.36    0.004297   0.0087045
         634           0  0.00429022  0.00869077
         635       -0.08  0.00415748   0.0086781
         636       -0.08  0.00402516  0.00866546
         637        0.04  0.00408163  0.00865204
