#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         455        0.64     1.16088   0.0757287
         456        0.16     1.15868   0.0755944
         457        0.04     1.15624   0.0754686
         458        2.56      1.1593   0.0753661
         459        2.56     1.16235   0.0752636
         460        2.56     1.16539   0.0751613
         461        1.44     1.16599   0.0750006
         462           1     1.16563   0.0748392
         463        0.36     1.16389   0.0746977
         464        0.04     1.16147    0.074576
         465        0.04     1.15905   0.0744546
         466           4     1.16515    0.074544
         467           1      1.1648   0.0743852
         468        0.36     1.16308   0.0742462
         469           0      1.1606   0.0741293
         470        1.44     1.16119   0.0739739
         471           9     1.17783   0.0756659
         472        3.24      1.1822   0.0756316
         473        4.84     1.18994    0.075866
         474        0.36     1.18819   0.0757262
         475        0.04     1.18577   0.0756053
         476        0.64     1.18462   0.0754552
         477        0.16     1.18247   0.0753276
         478        0.04     1.18008   0.0752079
         479        0.16     1.17795    0.075081
         480        0.04     1.17558    0.074962
         481        1.44     1.17613   0.0748082
         482        0.04     1.17378   0.0746901
         483        0.64     1.17267   0.0745437
         484        0.16     1.17058    0.074419
         485        1.96     1.17221   0.0742834
         486        3.24     1.17646   0.0742523
         487        0.36     1.17478   0.0741187
         488        0.04     1.17246   0.0740033
         489        0.04     1.17014   0.0738882
         490        0.16     1.16808   0.0737662
         491        0.36     1.16644   0.0736343
         492        0.36      1.1648   0.0735029
         493           0     1.16243   0.0733917
         494        0.16      1.1604   0.0732712
         495        3.24     1.16461   0.0732435
         496        1.96     1.16621   0.0731134
         497        0.04     1.16394   0.0730014
         498        0.04     1.16169   0.0728897
         499        0.04     1.15944   0.0727783
         500           1     1.15912   0.0726334
         501        0.16     1.15713   0.0725158
         502        0.16     1.15514   0.0723986
         503           0     1.15284    0.072291
         504        0.64     1.15183   0.0721548
         505        3.24     1.15596   0.0721303
         506           1     1.15565   0.0719884
         507        0.64     1.15464   0.0718536
         508        2.56      1.1574   0.0717654
         509        3.24     1.16149   0.0717409
         510        3.24     1.16557   0.0717159
         511        1.44     1.16611   0.0715776
         512        2.56     1.16883   0.0714895
         513           4     1.17435   0.0715629
         514           1     1.17401   0.0714245
         515           0     1.17173   0.0713222
         516        3.24     1.17574   0.0712965
         517           0     1.17346   0.0711948
         518           1     1.17313   0.0710582
         519        4.84     1.18019   0.0712716
         520        6.76     1.19092   0.0719378
         521        7.84     1.20369    0.072923
         522        7.84      1.2164   0.0738832
         523        6.76       1.227   0.0744984
         524        5.76     1.23565   0.0748568
         525           4     1.24091   0.0748991
         526        5.76     1.24951   0.0752479
         527        5.76     1.25806   0.0755903
         528        1.96     1.25939   0.0754588
         529        0.36     1.25769   0.0753353
         530        0.16     1.25562   0.0752216
         531        0.36     1.25394   0.0750989
         532        2.56     1.25639   0.0749978
         533        1.44     1.25674   0.0748579
         534        0.04     1.25446   0.0747524
         535           1     1.25398   0.0746142
         536        0.36     1.25231   0.0744936
         537        1.96     1.25363   0.0743666
         538           1     1.25316   0.0742298
         539        0.04     1.25091   0.0741262
         540        0.36     1.24926   0.0740073
         541           1      1.2488   0.0738719
         542           1     1.24834   0.0737371
         543        0.36      1.2467   0.0736194
         544        0.16     1.24471   0.0735112
         545        0.16     1.24272   0.0734032
         546        0.04     1.24051   0.0733019
         547           1     1.24007   0.0731692
         548           1     1.23964    0.073037
         549        1.96     1.24095   0.0729157
         550        2.56     1.24335   0.0728226
         551        0.36     1.24174    0.072708
         552        1.44      1.2421   0.0725772
         553        0.04     1.23993   0.0724785
         554        0.16     1.23798   0.0723739
         555        0.36      1.2364   0.0722608
         556        0.16     1.23446   0.0721567
         557        0.36     1.23289   0.0720443
         558        0.36     1.23133   0.0719321
         559        1.44      1.2317   0.0718044
         560        2.56     1.23407   0.0717154
         561        1.44     1.23444   0.0715885
         562        0.16     1.23253   0.0714866
         563        0.16     1.23062    0.071385
         564        0.16     1.22872   0.0712837
         565        0.04     1.22662   0.0711886
         566           0     1.22445   0.0710958
         567           0     1.22229   0.0710032
         568           0     1.22014   0.0709108
         569           1     1.21975   0.0707872
         570        1.44     1.22014   0.0706641
         571           0       1.218   0.0705726
         572        0.64     1.21699   0.0704565
         573        0.16     1.21515   0.0703577
         574        0.16     1.21331   0.0702591
         575        2.56     1.21565   0.0701759
         576        5.76     1.22354   0.0704962
         577        2.56     1.22586    0.070412
         578        6.76     1.23543   0.0709382
         579        1.96     1.23668   0.0708267
         580        1.44     1.23703   0.0707055
         581        0.64     1.23601   0.0705913
         582        0.04     1.23395   0.0704999
         583           0     1.23184   0.0704107
         584           1     1.23144   0.0702913
         585           0     1.22933   0.0702026
         586           0     1.22724   0.0701142
         587        0.04     1.22521   0.0700239
         588        0.04      1.2232   0.0699338
         589        0.04     1.22119   0.0698439
         590        1.44     1.22156   0.0697265
         591        3.24     1.22497   0.0696921
         592        3.24     1.22838   0.0696575
         593        0.16     1.22658   0.0695633
         594        0.36     1.22512   0.0694615
         595        0.64     1.22413   0.0693517
         596        2.56     1.22638   0.0692716
         597        1.96      1.2276   0.0691664
         598        0.36     1.22615    0.069066
         599        1.96     1.22738   0.0689615
         600        3.24     1.23073   0.0689281
         601           4     1.23534   0.0689673
         602        2.56     1.23754   0.0688878
         603        0.36     1.23609   0.0687889
         604        0.64      1.2351   0.0686821
         605        0.04     1.23312    0.068597
         606           0     1.23109    0.068514
         607           0     1.22906   0.0684311
         608           0     1.22704   0.0683484
         609        0.16     1.22529   0.0682587
         610        0.16     1.22354   0.0681691
         611        0.16      1.2218   0.0680797
         612        0.36     1.22039   0.0679831
         613           0      1.2184   0.0679013
         614        0.16     1.21668   0.0678126
         615        0.04     1.21476   0.0677293
         616        0.64     1.21383   0.0676258
         617        2.56     1.21601   0.0675514
         618        0.36     1.21463   0.0674563
         619        0.36     1.21325   0.0673614
         620        0.04     1.21135   0.0672793
         621        0.04     1.20947   0.0671974
         622           1     1.20913   0.0670902
         623        1.44      1.2095   0.0669836
         624        0.64     1.20859   0.0668825
         625        0.16     1.20691   0.0667965
         626        0.04     1.20505   0.0667158
         627           0     1.20313   0.0666371
         628        0.16     1.20146   0.0665516
         629        0.36     1.20013   0.0664593
         630        0.16     1.19848   0.0663743
         631        0.64     1.19759    0.066275
         632        0.36     1.19627   0.0661834
         633        3.24     1.19949   0.0661575
         634           0      1.1976   0.0660802
         635        0.16     1.19597   0.0659964
         636        0.16     1.19434   0.0659127
         637        0.04     1.19253   0.0658341
         638        0.16     1.19091   0.0657508
         639           1     1.19061   0.0656486
         640        0.64     1.18975   0.0655517
         641           0     1.18789   0.0654757
         642           1      1.1876   0.0653744
         643        0.36     1.18631   0.0652854
         644        0.16     1.18472   0.0652034
         645        0.64     1.18388   0.0651078
         646           0     1.18204   0.0650328
         647        0.64     1.18121   0.0649377
         648        0.04     1.17944   0.0648614
         649        1.96     1.18065   0.0647726
         650        5.76     1.18769   0.0650549
         651       12.96     1.20578   0.0674215
         652          16     1.22847   0.0710338
         653        7.84     1.23859   0.0716429
         654           9     1.25046   0.0725097
         655        6.76     1.25887   0.0728852
         656           9     1.27067   0.0737232
         657        1.44     1.27093   0.0736114
         658        0.36     1.26954   0.0735126
         659        0.36     1.26816    0.073414
         660        0.64     1.26721   0.0733089
         661        3.24      1.2702   0.0732587
         662        1.96     1.27124   0.0731555
         663           0     1.26932   0.0730703
         664        0.16     1.26765   0.0729793
         665           0     1.26574   0.0728945
         666           0     1.26384   0.0728098
         667        0.04     1.26201   0.0727238
         668        0.04     1.26018   0.0726379
         669        0.16     1.25854   0.0725479
         670        0.04     1.25672   0.0724624
         671           1     1.25633   0.0723555
         672        1.96     1.25738   0.0722554
         673           1       1.257    0.072149
         674        1.44     1.25727   0.0720425
         675        0.64     1.25636   0.0719415
         676        1.44     1.25663   0.0718356
         677        3.24     1.25956   0.0717892
         678           1     1.25917   0.0716844
         679           1     1.25879   0.0715798
         680        0.04       1.257    0.071497
         681        0.04     1.25521   0.0714143
         682        0.04     1.25343   0.0713319
         683        0.16     1.25183   0.0712454
         684        0.16     1.25023   0.0711591
         685        0.16     1.24864    0.071073
         686        0.64     1.24776   0.0709749
         687        0.04       1.246   0.0708934
         688        0.16     1.24442   0.0708079
         689        0.36     1.24313   0.0707168
         690        0.64     1.24226   0.0706197
         691        0.64     1.24139   0.0705229
         692        1.44     1.24168   0.0704216
         693           1     1.24133   0.0703208
         694           1     1.24098   0.0702203
         695        1.44     1.24127   0.0701199
         696           1     1.24092     0.07002
         697        2.56     1.24281   0.0699451
         698        3.24     1.24567   0.0699034
         699        7.84     1.25511   0.0704371
         700        7.84     1.26451   0.0709619
         701       10.24     1.27732   0.0720065
         702           4      1.2812   0.0720083
         703        1.44     1.28142   0.0719062
         704        0.04     1.27966   0.0718257
         705           0     1.27784   0.0717467
         706        0.36     1.27654   0.0716569
